1	S318		0.50461
2	S493		0.50540
3	S217		0.59364
4	S392		0.59710
5	S390		0.60265
6	S173		0.66104	
7	S362		0.66161	
8	S418		0.66183	
9	S457		0.66216	
10	S24		0.66446	
11	S391		0.66466	
12	S476		0.66530	
13	S494		0.66957	
14	S490		0.67077	
15	S300		0.67232	
16	S292		0.80709	
17	S438		0.80733	
18	S321		0.80789	
19	S186		0.80805	
20	S83		0.81890	
21	S160		0.81892	
22	S343		0.82191	
23	S106		0.86500	
24	S88		0.87345	
25	S244		0.90370	
26	S31		0.90739	
27	S294		0.90768	
28	S437		0.91462	
29	S277		0.91670	
30	S273		0.92221	
31	S153		0.92482	
32	S420		0.92607	
33	S100		0.92666	
34	S427		0.93033	
35	S473		0.93157	
36	S10		0.71407	
36	S221		0.23090	
37	S461		0.95556	
38	S187		0.95616	
39	S167		0.23428	
39	S308		0.72280	
40	S467		0.95811	
41	S51		0.96195	
42	S275		0.73639	
42	S96		0.23572	
43	S159		0.97270	
44	S283		0.97592	
45	S446		0.35066	
45	S7		0.62562	
46	S13		0.97871	
47	S78		0.97975	
48	S386		0.55989	
48	S272		0.42059	
49	S281		0.98066	
50	S452		0.35868	
50	S407		0.62563	
51	S482		0.98465	
52	S46		0.74462	
52	S384		0.24038	
53	S158		0.36265	
53	S229		0.62574	
54	S102		0.62594	
54	S208		0.36275	
55	S90		0.15586	
55	S376		0.83284	
56	S430		0.36290	
56	S70		0.62596	
57	S40		0.98920	
58	S253		0.99128	
59	S61		0.11735	
59	S152		0.87404	
60	S132		0.24313	
60	S346		0.74856	
61	S298		0.78302	
61	S385		0.20892	
62	S190		0.36409	
62	S112		0.62780	
63	S366		0.11867	
63	S14		0.87523	
64	S230		0.83369	
64	S449		0.16041	
65	S460		0.99574	
66	S63		0.83411	
66	S423		0.16194	
67	S48		0.99617	
68	S439		0.99643	
69	S218		0.46888	
69	S378		0.52772	
70	S497		0.57222	
70	S303		0.42532	
71	S444		0.99790	
72	S339		0.24818	
72	S129		0.75098	
73	S39		0.64795	
73	S338		0.35195	
74	S86		0.52213	
74	S202		0.47778	
75	S15		0.85668	
75	S55		0.14348	
76	S428		0.83744	
76	S35		0.16273	
77	S93		0.60688	
77	S104		0.39339	
78	S125		0.64783	
78	S29		0.35263	
79	S302		0.79676	
79	S252		0.20371	
80	S123		0.53100	
80	S38		0.46956	
81	S4		0.10184	
81	S301		0.89868	
82	S271		0.55873	
82	S203		0.44196	
83	S313		0.27597	
83	S145		0.72472	
84	S333		0.37129	
84	S415		0.62954	
85	S496		0.61256	
85	S146		0.38817	
86	S122		0.45914	
86	S397		0.54187	
87	S243		0.14395	
87	S312		0.85710	
88	S396		0.89403	
88	S189		0.10702	
89	S411		0.53984	
89	S75		0.46111	
90	S1		0.24849	
90	S276		0.75268	
91	S179		0.25275	
91	S225		0.74840	
92	S17		0.64459	
92	S126		0.35680	
93	S414		0.64647	
93	S60		0.35486	
94	S77		0.63312	
94	S224		0.36847	
95	S262		0.17732	
95	S191		0.82429	
96	S345		0.57757	
96	S288		0.42402	
97	S377		0.51653	
97	S168		0.48506	
98	S480		0.71315	
98	S285		0.28869	
99	S266		0.21300	
99	S454		0.78901	
100	S352		0.62539	
100	S372		0.37656	
101	S370		0.67379	
101	S3		0.32808	
102	S499		0.06581	
